Site Name;Date;Measured Value (kWh)
Secunda Plaza choppies;May-26;0
Secunda Plaza choppies;Jun-26;
Secunda Plaza choppies;Jul-26;
Secunda Plaza choppies;Aug-26;
Secunda Plaza choppies;Sept-26;
Secunda Plaza choppies;Oct-26;
Secunda Plaza choppies;Nov-26;
Secunda Plaza choppies;Dec-26;
Shoprite Dube ;Jan-24;
Shoprite Dube ;Feb-24;
Shoprite Dube ;Mar-24;
Shoprite Dube ;Apr-24;
Shoprite Dube ;May-24;
Shoprite Dube ;Jun-24;
Shoprite Dube ;Jul-24;
Shoprite Dube ;Aug-24;
Shoprite Dube ;Sept-24;
Shoprite Dube ;Oct-24;
Shoprite Dube ;Nov-24;
Shoprite Dube ;Dec-24;
Shoprite Dube ;Jan-25;10100
Shoprite Dube ;Feb-25;12001
Shoprite Dube ;Mar-25;13213
Shoprite Dube ;Apr-25;9636
Shoprite Dube ;May-25;10261
Shoprite Dube ;Jun-25;11348,4
Shoprite Dube ;Jul-25;14705
Shoprite Dube ;Aug-25;16958
Shoprite Dube ;Sept-25;17766
Shoprite Dube ;Oct-25;22849
Shoprite Dube ;Nov-25;20014
Shoprite Dube ;Dec-25;21334,1162
Shoprite Dube ;Jan-26;23434
Shoprite Dube ;Feb-26;21742,1962
Shoprite Dube ;Mar-26;18523
Shoprite Dube ;Apr-26;15379,43
Shoprite Dube ;May-26;15576,52
Shoprite Dube ;Jun-26;
Shoprite Dube ;Jul-26;
Shoprite Dube ;Aug-26;
Shoprite Dube ;Sept-26;
Shoprite Dube ;Oct-26;
Shoprite Dube ;Nov-26;
Shoprite Dube ;Dec-26;
Shoprite Ekhaya;Jan-24;
Shoprite Ekhaya;Feb-24;
Shoprite Ekhaya;Mar-24;
Shoprite Ekhaya;Apr-24;
Shoprite Ekhaya;May-24;
Shoprite Ekhaya;Jun-24;
Shoprite Ekhaya;Jul-24;
Shoprite Ekhaya;Aug-24;
Shoprite Ekhaya;Sept-24;
Shoprite Ekhaya;Oct-24;
Shoprite Ekhaya;Nov-24;
Shoprite Ekhaya;Dec-24;
Shoprite Ekhaya;Jan-25;
Shoprite Ekhaya;Feb-25;
Shoprite Ekhaya;Mar-25;
Shoprite Ekhaya;Apr-25;
Shoprite Ekhaya;May-25;
Shoprite Ekhaya;Jun-25;
Shoprite Ekhaya;Jul-25;
Shoprite Ekhaya;Aug-25;
Shoprite Ekhaya;Sept-25;
Shoprite Ekhaya;Oct-25;
Shoprite Ekhaya;Nov-25;
Shoprite Ekhaya;Dec-25;
Shoprite Ekhaya;Jan-26;
Shoprite Ekhaya;Feb-26;
Shoprite Ekhaya;Mar-26;10022
Shoprite Ekhaya;Apr-26;11511,86
Shoprite Ekhaya;May-26;14709,43
Shoprite Ekhaya;Jun-26;
Shoprite Ekhaya;Jul-26;
Shoprite Ekhaya;Aug-26;
Shoprite Ekhaya;Sept-26;
Shoprite Ekhaya;Oct-26;
Shoprite Ekhaya;Nov-26;
Shoprite Ekhaya;Dec-26;
Shoprite Hillbrow;Jan-24;
Shoprite Hillbrow;Feb-24;
Shoprite Hillbrow;Mar-24;
Shoprite Hillbrow;Apr-24;
Shoprite Hillbrow;May-24;
Shoprite Hillbrow;Jun-24;
Shoprite Hillbrow;Jul-24;
Shoprite Hillbrow;Aug-24;
Shoprite Hillbrow;Sept-24;
Shoprite Hillbrow;Oct-24;
Shoprite Hillbrow;Nov-24;
Shoprite Hillbrow;Dec-24;
Shoprite Hillbrow;Jan-25;18900
Shoprite Hillbrow;Feb-25;13110
Shoprite Hillbrow;Mar-25;11124
Shoprite Hillbrow;Apr-25;9398
Shoprite Hillbrow;May-25;10507
Shoprite Hillbrow;Jun-25;8615
Shoprite Hillbrow;Jul-25;9297
Shoprite Hillbrow;Aug-25;11805
Shoprite Hillbrow;Sept-25;12829
Shoprite Hillbrow;Oct-25;18800
Shoprite Hillbrow;Nov-25;15186
Shoprite Hillbrow;Dec-25;17488,2707
Shoprite Hillbrow;Jan-26;18755
Shoprite Hillbrow;Feb-26;15395,7162
Shoprite Hillbrow;Mar-26;11700
Shoprite Hillbrow;Apr-26;8798,96
Shoprite Hillbrow;May-26;8378,25
Shoprite Hillbrow;Jun-26;
Shoprite Hillbrow;Jul-26;
Shoprite Hillbrow;Aug-26;
Shoprite Hillbrow;Sept-26;
Shoprite Hillbrow;Oct-26;
Shoprite Hillbrow;Nov-26;
Shoprite Hillbrow;Dec-26;
Shoprite Ladybrand ;Jan-24;
Shoprite Ladybrand ;Feb-24;
Shoprite Ladybrand ;Mar-24;
Shoprite Ladybrand ;Apr-24;
Shoprite Ladybrand ;May-24;
Shoprite Ladybrand ;Jun-24;
Shoprite Ladybrand ;Jul-24;
Shoprite Ladybrand ;Aug-24;
Shoprite Ladybrand ;Sept-24;
Shoprite Ladybrand ;Oct-24;
Shoprite Ladybrand ;Nov-24;
Shoprite Ladybrand ;Dec-24;
Shoprite Ladybrand ;Jan-25;33100
Shoprite Ladybrand ;Feb-25;24950
Shoprite Ladybrand ;Mar-25;24126
Shoprite Ladybrand ;Apr-25;18837
Shoprite Ladybrand ;May-25;22373
Shoprite Ladybrand ;Jun-25;18416,6
Shoprite Ladybrand ;Jul-25;19123
Shoprite Ladybrand ;Aug-25;22404
Shoprite Ladybrand ;Sept-25;21900
Shoprite Ladybrand ;Oct-25;29612
Shoprite Ladybrand ;Nov-25;26751
Shoprite Ladybrand ;Dec-25;30623,1004
Shoprite Ladybrand ;Jan-26;34009
Shoprite Ladybrand ;Feb-26;24602,8829
Shoprite Ladybrand ;Mar-26;23540
Shoprite Ladybrand ;Apr-26;18199,29
Shoprite Ladybrand ;May-26;17860,55
Shoprite Ladybrand ;Jun-26;
Shoprite Ladybrand ;Jul-26;
Shoprite Ladybrand ;Aug-26;
Shoprite Ladybrand ;Sept-26;
Shoprite Ladybrand ;Oct-26;
Shoprite Ladybrand ;Nov-26;
Shoprite Ladybrand ;Dec-26;
Shoprite Mini Ganyesa;Jan-24;
Shoprite Mini Ganyesa;Feb-24;
Shoprite Mini Ganyesa;Mar-24;
Shoprite Mini Ganyesa;Apr-24;
Shoprite Mini Ganyesa;May-24;
Shoprite Mini Ganyesa;Jun-24;
Shoprite Mini Ganyesa;Jul-24;
Shoprite Mini Ganyesa;Aug-24;3670
Shoprite Mini Ganyesa;Sept-24;24226
Shoprite Mini Ganyesa;Oct-24;29060
Shoprite Mini Ganyesa;Nov-24;28700
Shoprite Mini Ganyesa;Dec-24;32654
Shoprite Mini Ganyesa;Jan-25;31900
Shoprite Mini Ganyesa;Feb-25;24980
Shoprite Mini Ganyesa;Mar-25;24068
Shoprite Mini Ganyesa;Apr-25;17329
Shoprite Mini Ganyesa;May-25;19241
Shoprite Mini Ganyesa;Jun-25;18515,91
Shoprite Mini Ganyesa;Jul-25;18781
Shoprite Mini Ganyesa;Aug-25;21235
Shoprite Mini Ganyesa;Sept-25;23085
Shoprite Mini Ganyesa;Oct-25;25611
Shoprite Mini Ganyesa;Nov-25;25276
Shoprite Mini Ganyesa;Dec-25;28457,1296
Shoprite Mini Ganyesa;Jan-26;29092
Shoprite Mini Ganyesa;Feb-26;23486,9398
Shoprite Mini Ganyesa;Mar-26;22459
Shoprite Mini Ganyesa;Apr-26;18207,86
Shoprite Mini Ganyesa;May-26;17848,83
Shoprite Mini Ganyesa;Jun-26;
Shoprite Mini Ganyesa;Jul-26;
Shoprite Mini Ganyesa;Aug-26;
Shoprite Mini Ganyesa;Sept-26;
Shoprite Mini Ganyesa;Oct-26;
Shoprite Mini Ganyesa;Nov-26;
Shoprite Mini Ganyesa;Dec-26;
Shoprite Naledi;Jan-24;
Shoprite Naledi;Feb-24;
Shoprite Naledi;Mar-24;
Shoprite Naledi;Apr-24;
Shoprite Naledi;May-24;
Shoprite Naledi;Jun-24;
Shoprite Naledi;Jul-24;
Shoprite Naledi;Aug-24;
Shoprite Naledi;Sept-24;10570
Shoprite Naledi;Oct-24;18040
Shoprite Naledi;Nov-24;18800
Shoprite Naledi;Dec-24;20883
Shoprite Naledi;Jan-25;20300
Shoprite Naledi;Feb-25;13100
Shoprite Naledi;Mar-25;12342
Shoprite Naledi;Apr-25;10819
Shoprite Naledi;May-25;15169
Shoprite Naledi;Jun-25;13081,41
Shoprite Naledi;Jul-25;14154
Shoprite Naledi;Aug-25;16190
Shoprite Naledi;Sept-25;16520
Shoprite Naledi;Oct-25;20440
Shoprite Naledi;Nov-25;17928
Shoprite Naledi;Dec-25;20527,8823
Shoprite Naledi;Jan-26;22071
Shoprite Naledi;Feb-26;18965
Shoprite Naledi;Mar-26;15865
Shoprite Naledi;Apr-26;13806,89
Shoprite Naledi;May-26;13506,85
Shoprite Naledi;Jun-26;
Shoprite Naledi;Jul-26;
Shoprite Naledi;Aug-26;
Shoprite Naledi;Sept-26;
Shoprite Naledi;Oct-26;
Shoprite Naledi;Nov-26;
Shoprite Naledi;Dec-26;
Shoprite Newlands;Jan-24;
Shoprite Newlands;Feb-24;
Shoprite Newlands;Mar-24;
Shoprite Newlands;Apr-24;
Shoprite Newlands;May-24;
Shoprite Newlands;Jun-24;
Shoprite Newlands;Jul-24;
Shoprite Newlands;Aug-24;
Shoprite Newlands;Sept-24;
Shoprite Newlands;Oct-24;
Shoprite Newlands;Nov-24;
Shoprite Newlands;Dec-24;
Shoprite Newlands;Jan-25;
Shoprite Newlands;Feb-25;
Shoprite Newlands;Mar-25;
Shoprite Newlands;Apr-25;
Shoprite Newlands;May-25;
Shoprite Newlands;Jun-25;
Shoprite Newlands;Jul-25;
Shoprite Newlands;Aug-25;
Shoprite Newlands;Sept-25;
Shoprite Newlands;Oct-25;
Shoprite Newlands;Nov-25;
Shoprite Newlands;Dec-25;18509
Shoprite Newlands;Jan-26;32917
Shoprite Newlands;Feb-26;31107
Shoprite Newlands;Mar-26;26454
Shoprite Newlands;Apr-26;20930,87
Shoprite Newlands;May-26;20539,96
Shoprite Newlands;Jun-26;
Shoprite Newlands;Jul-26;
Shoprite Newlands;Aug-26;
Shoprite Newlands;Sept-26;
Shoprite Newlands;Oct-26;
Shoprite Newlands;Nov-26;
Shoprite Newlands;Dec-26;
Shoprite Thokoza;Jan-24;
Shoprite Thokoza;Feb-24;
Shoprite Thokoza;Mar-24;
Shoprite Thokoza;Apr-24;
Shoprite Thokoza;May-24;
Shoprite Thokoza;Jun-24;
Shoprite Thokoza;Jul-24;
Shoprite Thokoza;Aug-24;
Shoprite Thokoza;Sept-24;
Shoprite Thokoza;Oct-24;
Shoprite Thokoza;Nov-24;
Shoprite Thokoza;Dec-24;
Shoprite Thokoza;Jan-25;
Shoprite Thokoza;Feb-25;
Shoprite Thokoza;Mar-25;
Shoprite Thokoza;Apr-25;4166
Shoprite Thokoza;May-25;5400
Shoprite Thokoza;Jun-25;8687,3
Shoprite Thokoza;Jul-25;7090
Shoprite Thokoza;Aug-25;10240
Shoprite Thokoza;Sept-25;11379
Shoprite Thokoza;Oct-25;16828,7
Shoprite Thokoza;Nov-25;15461
Shoprite Thokoza;Dec-25;17561
Shoprite Thokoza;Jan-26;20127
Shoprite Thokoza;Feb-26;16780
Shoprite Thokoza;Mar-26;14651
Shoprite Thokoza;Apr-26;12498,2
Shoprite Thokoza;May-26;11697,82
Shoprite Thokoza;Jun-26;
Shoprite Thokoza;Jul-26;
Shoprite Thokoza;Aug-26;
Shoprite Thokoza;Sept-26;
Shoprite Thokoza;Oct-26;
Shoprite Thokoza;Nov-26;
Shoprite Thokoza;Dec-26;
Spring Glade;Jan-24;9171
Spring Glade;Feb-24;8406
Spring Glade;Mar-24;9529
Spring Glade;Apr-24;8796
Spring Glade;May-24;10039
Spring Glade;Jun-24;10175
Spring Glade;Jul-24;10629
Spring Glade;Aug-24;10264
Spring Glade;Sept-24;9192
Spring Glade;Oct-24;10175
Spring Glade;Nov-24;9431
Spring Glade;Dec-24;9104
Spring Glade;Jan-25;5093
Spring Glade;Feb-25;7532
Spring Glade;Mar-25;7375
Spring Glade;Apr-25;7602
Spring Glade;May-25;10378
Spring Glade;Jun-25;10510,45
Spring Glade;Jul-25;9750
Spring Glade;Aug-25;10081
Spring Glade;Sept-25;11225
Spring Glade;Oct-25;9885
Spring Glade;Nov-25;8679
Spring Glade;Dec-25;9967
Spring Glade;Jan-26;9751
Spring Glade;Feb-26;8451
Spring Glade;Mar-26;8559
Spring Glade;Apr-26;7937,13
Spring Glade;May-26;10005,8
Spring Glade;Jun-26;
Spring Glade;Jul-26;
Spring Glade;Aug-26;
Spring Glade;Sept-26;
Spring Glade;Oct-26;
Spring Glade;Nov-26;
Spring Glade;Dec-26;
TPF Foods ;Jan-24;3404
TPF Foods ;Feb-24;3408
TPF Foods ;Mar-24;3131
TPF Foods ;Apr-24;2829
TPF Foods ;May-24;3129
TPF Foods ;Jun-24;2591
TPF Foods ;Jul-24;3122
TPF Foods ;Aug-24;2990
TPF Foods ;Sept-24;2990
TPF Foods ;Oct-24;4061
TPF Foods ;Nov-24;3991
TPF Foods ;Dec-24;3569
TPF Foods ;Jan-25;3838
TPF Foods ;Feb-25;2653
TPF Foods ;Mar-25;2925
TPF Foods ;Apr-25;2246
TPF Foods ;May-25;3149
TPF Foods ;Jun-25;2654,45
TPF Foods ;Jul-25;2863
TPF Foods ;Aug-25;3192
TPF Foods ;Sept-25;3092
TPF Foods ;Oct-25;3600
TPF Foods ;Nov-25;2755
TPF Foods ;Dec-25;3248
TPF Foods ;Jan-26;3546
TPF Foods ;Feb-26;3398
TPF Foods ;Mar-26;2638
TPF Foods ;Apr-26;2034,35
TPF Foods ;May-26;2231,41
TPF Foods ;Jun-26;
TPF Foods ;Jul-26;
TPF Foods ;Aug-26;
TPF Foods ;Sept-26;
TPF Foods ;Oct-26;
TPF Foods ;Nov-26;
TPF Foods ;Dec-26;
Thakadu Industrial;Jan-24;
Thakadu Industrial;Feb-24;
Thakadu Industrial;Mar-24;
Thakadu Industrial;Apr-24;
Thakadu Industrial;May-24;
Thakadu Industrial;Jun-24;
Thakadu Industrial;Jul-24;
Thakadu Industrial;Aug-24;
Thakadu Industrial;Sept-24;
Thakadu Industrial;Oct-24;
Thakadu Industrial;Nov-24;
Thakadu Industrial;Dec-24;
Thakadu Industrial;Jan-25;
Thakadu Industrial;Feb-25;
Thakadu Industrial;Mar-25;
Thakadu Industrial;Apr-25;
Thakadu Industrial;May-25;
Thakadu Industrial;Jun-25;
Thakadu Industrial;Jul-25;
Thakadu Industrial;Aug-25;
Thakadu Industrial;Sept-25;
Thakadu Industrial;Oct-25;
Thakadu Industrial;Nov-25;
Thakadu Industrial;Dec-25;
Thakadu Industrial;Jan-26;
Thakadu Industrial;Feb-26;
Thakadu Industrial;Mar-26;
Thakadu Industrial;Apr-26;
Thakadu Industrial;May-26;
Thakadu Industrial;Jun-26;
Thakadu Industrial;Jul-26;
Thakadu Industrial;Aug-26;
Thakadu Industrial;Sept-26;
Thakadu Industrial;Oct-26;
Thakadu Industrial;Nov-26;
Thakadu Industrial;Dec-26;
The Alec;Jan-24;6142
The Alec;Feb-24;5738
The Alec;Mar-24;5912
The Alec;Apr-24;4354
The Alec;May-24;3536
The Alec;Jun-24;2689
The Alec;Jul-24;3106
The Alec;Aug-24;4461
The Alec;Sept-24;5033
The Alec;Oct-24;6965
The Alec;Nov-24;6934
The Alec;Dec-24;7000
The Alec;Jan-25;5900
The Alec;Feb-25;4280
The Alec;Mar-25;4292
The Alec;Apr-25;3097
The Alec;May-25;3200
The Alec;Jun-25;2560,4
The Alec;Jul-25;2823
The Alec;Aug-25;4200
The Alec;Sept-25;4566
The Alec;Oct-25;6195,1
The Alec;Nov-25;5304
The Alec;Dec-25;6296
The Alec;Jan-26;6828
The Alec;Feb-26;6062
The Alec;Mar-26;4541
The Alec;Apr-26;3743,09
The Alec;May-26;3041,11
SR Morula TF 1;Jun-26;4726
The Alec;Jul-26;
The Alec;Aug-26;
The Alec;Sept-26;
The Alec;Oct-26;
The Alec;Nov-26;
The Alec;Dec-26;
Three Peaks;Jan-24;3510
Three Peaks;Feb-24;3517
Three Peaks;Mar-24;3409
Three Peaks;Apr-24;2977
Three Peaks;May-24;2754
Three Peaks;Jun-24;2322
Three Peaks;Jul-24;3200
Three Peaks;Aug-24;1967,434
Three Peaks;Sept-24;2608
Three Peaks;Oct-24;3179
Three Peaks;Nov-24;2499
Three Peaks;Dec-24;2419
Three Peaks;Jan-25;2940
Three Peaks;Feb-25;2482
Three Peaks;Mar-25;2660
Three Peaks;Apr-25;3014
Three Peaks;May-25;3259
Three Peaks;Jun-25;2701,4
Three Peaks;Jul-25;2990
Three Peaks;Aug-25;3504
Three Peaks;Sept-25;3456
Three Peaks;Oct-25;4131
Three Peaks;Nov-25;3798
Three Peaks;Dec-25;4633
Three Peaks;Jan-26;5177
Three Peaks;Feb-26;3087
Three Peaks;Mar-26;4035
Three Peaks;Apr-26;3282,98
Three Peaks;May-26;3208,4
Three Peaks;Jun-26;
Three Peaks;Jul-26;
Three Peaks;Aug-26;
Three Peaks;Sept-26;
Three Peaks;Oct-26;
Three Peaks;Nov-26;
Three Peaks;Dec-26;
Trouw Nutrition;Jan-24;
Trouw Nutrition;Feb-24;11561
Trouw Nutrition;Mar-24;11738
Trouw Nutrition;Apr-24;307
Trouw Nutrition;May-24;1
Trouw Nutrition;Jun-24;1
Trouw Nutrition;Jul-24;6245
Trouw Nutrition;Aug-24;10791
Trouw Nutrition;Sept-24;10127
Trouw Nutrition;Oct-24;12940
Trouw Nutrition;Nov-24;12711
Trouw Nutrition;Dec-24;12090
Trouw Nutrition;Jan-25;10838
Trouw Nutrition;Feb-25;8901
Trouw Nutrition;Mar-25;9398
Trouw Nutrition;Apr-25;8195
Trouw Nutrition;May-25;6021
Trouw Nutrition;Jun-25;4341,56
Trouw Nutrition;Jul-25;6989
Trouw Nutrition;Aug-25;11205
Trouw Nutrition;Sept-25;10024
Trouw Nutrition;Oct-25;13192
Trouw Nutrition;Nov-25;10364
Trouw Nutrition;Dec-25;10702
Trouw Nutrition;Jan-26;12710
Trouw Nutrition;Feb-26;12261
Trouw Nutrition;Mar-26;11049
Trouw Nutrition;Apr-26;9364,19
Trouw Nutrition;May-26;10132,34
Trouw Nutrition;Jun-26;
Trouw Nutrition;Jul-26;
Trouw Nutrition;Aug-26;
Trouw Nutrition;Sept-26;
Trouw Nutrition;Oct-26;
Trouw Nutrition;Nov-26;
Trouw Nutrition;Dec-26;
U Save Botrivier ;Jan-24;
U Save Botrivier ;Feb-24;
U Save Botrivier ;Mar-24;
U Save Botrivier ;Apr-24;
U Save Botrivier ;May-24;
U Save Botrivier ;Jun-24;
U Save Botrivier ;Jul-24;
U Save Botrivier ;Aug-24;
U Save Botrivier ;Sept-24;
U Save Botrivier ;Oct-24;
U Save Botrivier ;Nov-24;
U Save Botrivier ;Dec-24;
U Save Botrivier ;Jan-25;
U Save Botrivier ;Feb-25;
U Save Botrivier ;Mar-25;
U Save Botrivier ;Apr-25;
U Save Botrivier ;May-25;
U Save Botrivier ;Jun-25;
U Save Botrivier ;Jul-25;
U Save Botrivier ;Aug-25;3866
U Save Botrivier ;Sept-25;4249
U Save Botrivier ;Oct-25;5286
U Save Botrivier ;Nov-25;5001
U Save Botrivier ;Dec-25;6707
U Save Botrivier ;Jan-26;7171,5
U Save Botrivier ;Feb-26;4844
U Save Botrivier ;Mar-26;5410
U Save Botrivier ;Apr-26;2815,5
U Save Botrivier ;May-26;2205,5
U Save Botrivier ;Jun-26;
U Save Botrivier ;Jul-26;
U Save Botrivier ;Aug-26;
U Save Botrivier ;Sept-26;
U Save Botrivier ;Oct-26;
U Save Botrivier ;Nov-26;
U Save Botrivier ;Dec-26;
Watt Place Rotoflo;Jan-24;17892
Watt Place Rotoflo;Feb-24;15929
Watt Place Rotoflo;Mar-24;18524
Watt Place Rotoflo;Apr-24;13076
Watt Place Rotoflo;May-24;17640
Watt Place Rotoflo;Jun-24;14642
Watt Place Rotoflo;Jul-24;15002
Watt Place Rotoflo;Aug-24;20792
Watt Place Rotoflo;Sept-24;20898
Watt Place Rotoflo;Oct-24;30325
Watt Place Rotoflo;Nov-24;27930
Watt Place Rotoflo;Dec-24;17653
Watt Place Rotoflo;Jan-25;23957
Watt Place Rotoflo;Feb-25;19898
Watt Place Rotoflo;Mar-25;18434
Watt Place Rotoflo;Apr-25;16717
Watt Place Rotoflo;May-25;19518
Watt Place Rotoflo;Jun-25;16703,9
Watt Place Rotoflo;Jul-25;17442,42
Watt Place Rotoflo;Aug-25;21419
Watt Place Rotoflo;Sept-25;19487
Watt Place Rotoflo;Oct-25;25859,04
Watt Place Rotoflo;Nov-25;23228
Watt Place Rotoflo;Dec-25;13257
Watt Place Rotoflo;Jan-26;24628
Watt Place Rotoflo;Feb-26;24848,5
Watt Place Rotoflo;Mar-26;20359
Watt Place Rotoflo;Apr-26;17480,97
Watt Place Rotoflo;May-26;17505,34
SR Morula TF 2;Jun-26;4827
Watt Place Rotoflo;Jul-26;
Watt Place Rotoflo;Aug-26;
Watt Place Rotoflo;Sept-26;
Watt Place Rotoflo;Oct-26;
Watt Place Rotoflo;Nov-26;
Watt Place Rotoflo;Dec-26;
Zwartop Golf Course;Jan-24;
Zwartop Golf Course;Feb-24;
Zwartop Golf Course;Mar-24;
Zwartop Golf Course;Apr-24;
Zwartop Golf Course;May-24;
Zwartop Golf Course;Jun-24;
Zwartop Golf Course;Jul-24;
Zwartop Golf Course;Aug-24;
Zwartop Golf Course;Sept-24;
Zwartop Golf Course;Oct-24;
Zwartop Golf Course;Nov-24;
Zwartop Golf Course;Dec-24;
Zwartop Golf Course;Jan-25;
Zwartop Golf Course;Feb-25;
Zwartop Golf Course;Mar-25;
Zwartop Golf Course;Apr-25;
Zwartop Golf Course;May-25;
Zwartop Golf Course;Jun-25;
Zwartop Golf Course;Jul-25;
Zwartop Golf Course;Aug-25;
Zwartop Golf Course;Sept-25;
Zwartop Golf Course;Oct-25;
Zwartop Golf Course;Nov-25;
Zwartop Golf Course;Dec-25;
Zwartop Golf Course;Jan-26;
Zwartop Golf Course;Feb-26;
Zwartop Golf Course;Mar-26;
Zwartop Golf Course;Apr-26;
Zwartop Golf Course;May-26;
Zwartop Golf Course;Jun-26;
Zwartop Golf Course;Jul-26;
Zwartop Golf Course;Aug-26;
Zwartop Golf Course;Sept-26;
Zwartop Golf Course;Oct-26;
Zwartop Golf Course;Nov-26;
Zwartop Golf Course;Dec-26;
Roan Foods;Apr-26;10820
Roan Foods;May-26;11820
Checkers Lichtenburg;May-26;17630
Alpine Heath Resort;May-26;27917,2
Engen Kaalfontein;Jan-24;
Engen Kaalfontein;Feb-24;
Engen Kaalfontein;Mar-24;
Engen Kaalfontein;Apr-24;
Engen Kaalfontein;May-24;
Engen Kaalfontein;Jun-24;
Engen Kaalfontein;Jul-24;
Engen Kaalfontein;Aug-24;
Engen Kaalfontein;Sept-24;
Engen Kaalfontein;Oct-24;
Engen Kaalfontein;Nov-24;
Engen Kaalfontein;Dec-24;
Engen Kaalfontein;Jan-25;
Engen Kaalfontein;Feb-25;
Engen Kaalfontein;Mar-25;
Engen Kaalfontein;Apr-25;
Engen Kaalfontein;May-25;
Engen Kaalfontein;Jun-25;
Engen Kaalfontein;Jul-25;
Engen Kaalfontein;Aug-25;
Engen Kaalfontein;Sept-25;
Engen Kaalfontein;Oct-25;
Engen Kaalfontein;Nov-25;
Engen Kaalfontein;Dec-25;
Engen Kaalfontein;Jan-26;
Engen Kaalfontein;Feb-26;
Engen Kaalfontein;Mar-26;
Engen Kaalfontein;Apr-26;
Engen Kaalfontein;May-26;
The Alec;Jun-26;2444
Engen Kaalfontein;Jul-26;
Engen Kaalfontein;Aug-26;
Engen Kaalfontein;Sept-26;
Engen Kaalfontein;Oct-26;
Engen Kaalfontein;Nov-26;
Engen Kaalfontein;Dec-26;
Alpine Heath Resort;Jan-24;
Alpine Heath Resort;Feb-24;
Alpine Heath Resort;Mar-24;
Alpine Heath Resort;Apr-24;
Alpine Heath Resort;May-24;
Alpine Heath Resort;Jun-24;
Alpine Heath Resort;Jul-24;
Alpine Heath Resort;Aug-24;
Alpine Heath Resort;Sept-24;
Alpine Heath Resort;Oct-24;
Alpine Heath Resort;Nov-24;
Alpine Heath Resort;Dec-24;
Alpine Heath Resort;Jan-25;
Alpine Heath Resort;Feb-25;
Alpine Heath Resort;Mar-25;
Alpine Heath Resort;Apr-25;
Alpine Heath Resort;May-25;
Alpine Heath Resort;Jun-25;
Alpine Heath Resort;Jul-25;
Alpine Heath Resort;Aug-25;
Alpine Heath Resort;Sept-25;
Alpine Heath Resort;Oct-25;
Alpine Heath Resort;Nov-25;
Alpine Heath Resort;Dec-25;
Alpine Heath Resort;Jan-26;
Alpine Heath Resort;Feb-26;
Alpine Heath Resort;Mar-26;
Alpine Heath Resort;Apr-26;
Watt Place Rotoflo;Jun-26;11655
Alpine Heath Resort;Jul-26;
Alpine Heath Resort;Aug-26;
Alpine Heath Resort;Sept-26;
Alpine Heath Resort;Oct-26;
Alpine Heath Resort;Nov-26;
Alpine Heath Resort;Dec-26;
